train start... 
episode: 139, step: 80, reward: 215.3, done: True
episode: 140, step: 148, reward: 406.0, done: True
episode: 141, step: 73, reward: 194.3, done: True
episode: 142, step: 43, reward: 108.1, done: True
episode: 143, step: 59, reward: 150.4, done: True
episode: 144, step: 36, reward: 81.4, done: True
episode: 145, step: 2, reward: 6.028, done: True
episode: 146, step: 1, reward: 3.0, done: True
episode: 147, step: 58, reward: 149.272, done: True
episode: 148, step: 47, reward: 114.4, done: True
episode: 149, step: 80, reward: 211.5, done: True
episode: 150, step: 24, reward: 56.801, done: True
episode: 151, step: 60, reward: 153.399, done: True
episode: 152, step: 125, reward: 327.499, done: True
episode: 153, step: 45, reward: 110.301, done: True
episode: 154, step: 73, reward: 194.3, done: True
episode: 155, step: 72, reward: 189.4, done: True
episode: 156, step: 106, reward: 272.4, done: True
episode: 157, step: 68, reward: 181.2, done: True
episode: 158, step: 27, reward: 63.9, done: True
episode: 159, step: 73, reward: 198.1, done: True
episode: 160, step: 78, reward: 216.9, done: True
episode: 161, step: 22, reward: 43.201, done: True
episode: 162, step: 47, reward: 116.299, done: True
episode: 163, step: 74, reward: 193.5, done: True
episode: 164, step: 50, reward: 140.5, done: True
episode: 165, step: 3, reward: 9.029, done: True
episode: 166, step: 1, reward: 3.0, done: True
episode: 167, step: 22, reward: 50.773, done: True
episode: 168, step: 57, reward: 155.799, done: True
episode: 169, step: 59, reward: 148.5, done: True
episode: 170, step: 78, reward: 209.3, done: True
episode: 171, step: 73, reward: 194.3, done: True
episode: 172, step: 59, reward: 150.4, done: True
episode: 173, step: 61, reward: 156.4, done: True
episode: 174, step: 60, reward: 149.6, done: True
episode: 175, step: 42, reward: 101.3, done: True
episode: 176, step: 81, reward: 216.4, done: True
episode: 177, step: 153, reward: 407.7, done: True
episode: 178, step: 45, reward: 112.2, done: True
episode: 179, step: 66, reward: 173.3, done: True
episode: 180, step: 43, reward: 115.7, done: True
episode: 181, step: 84, reward: 227.3, done: True
episode: 182, step: 78, reward: 209.3, done: True
episode: 183, step: 58, reward: 158.799, done: True
episode: 184, step: 22, reward: 47.001, done: True
episode: 185, step: 87, reward: 236.299, done: True
episode: 186, step: 3, reward: 9.028, done: True
episode: 187, step: 1, reward: 3.0, done: True
episode: 188, step: 47, reward: 110.571, done: True
episode: 189, step: 72, reward: 189.4, done: True
episode: 190, step: 63, reward: 164.3, done: True
episode: 191, step: 68, reward: 183.1, done: True
episode: 192, step: 72, reward: 189.4, done: True
episode: 193, step: 75, reward: 194.6, done: True
episode: 194, step: 50, reward: 125.3, done: True
episode: 195, step: 52, reward: 129.4, done: True
episode: 196, step: 76, reward: 201.4, done: True
episode: 197, step: 37, reward: 84.4, done: True
episode: 198, step: 71, reward: 186.4, done: True
episode: 199, step: 57, reward: 153.9, done: True
episode: 200, step: 90, reward: 241.5, done: True
episode: 201, step: 78, reward: 209.3, done: True
episode: 202, step: 24, reward: 56.8, done: True
episode: 203, step: 70, reward: 164.4, done: True
episode: 204, step: 74, reward: 193.499, done: True
episode: 205, step: 58, reward: 147.401, done: True
episode: 206, step: 36, reward: 81.4, done: True
episode: 207, step: 73, reward: 192.4, done: True
episode: 208, step: 2, reward: 6.027, done: True
episode: 209, step: 1, reward: 3.0, done: True
episode: 210, step: 47, reward: 83.973, done: True
episode: 211, step: 102, reward: 239.498, done: True
episode: 212, step: 83, reward: 209.101, done: True
episode: 213, step: 169, reward: 280.9, done: True
episode: 214, step: 153, reward: 438.1, done: True
episode: 215, step: 152, reward: 421.802, done: True
episode: 216, step: 168, reward: 479.3, done: True
episode: 217, step: 175, reward: 481.3, done: True
episode: 218, step: 147, reward: 404.9, done: True
episode: 219, step: 170, reward: 479.6, done: True
episode: 220, step: 123, reward: 342.4, done: True
episode: 221, step: 166, reward: 473.3, done: True
episode: 222, step: 142, reward: 393.7, done: True
episode: 223, step: 137, reward: 386.3, done: True
episode: 224, step: 151, reward: 434.0, done: True
episode: 225, step: 159, reward: 442.8, done: True
episode: 226, step: 195, reward: 552.7, done: True
episode: 227, step: 162, reward: 353.0, done: True
episode: 228, step: 146, reward: 420.9, done: True
episode: 229, step: 169, reward: 482.3, done: True
episode: 230, step: 2, reward: 6.025, done: True
episode: 231, step: 1, reward: 3.0, done: True
episode: 232, step: 158, reward: 447.375, done: True
episode: 233, step: 187, reward: 524.9, done: True
episode: 234, step: 178, reward: 469.4, done: True
episode: 235, step: 114, reward: 283.1, done: True
episode: 236, step: 178, reward: 268.0, done: True
episode: 237, step: 171, reward: 323.0, done: True
episode: 238, step: 174, reward: 432.7, done: True
episode: 239, step: 58, reward: 155.0, done: True
episode: 240, step: 74, reward: 172.6, done: True
episode: 241, step: 116, reward: 313.8, done: True
episode: 242, step: 179, reward: 305.2, done: True
episode: 243, step: 190, reward: 374.3, done: True
episode: 244, step: 167, reward: 265.4, done: True
episode: 245, step: 258, reward: 654.3, done: True
episode: 246, step: 238, reward: 620.9, done: True
episode: 247, step: 142, reward: 391.8, done: True
episode: 248, step: 136, reward: 371.9, done: True
episode: 249, step: 193, reward: 520.1, done: True
episode: 250, step: 132, reward: 361.8, done: True
episode: 251, step: 129, reward: 301.5, done: True
episode: 252, step: 2, reward: 6.025, done: True
