train start... 
episode: 0, step: 73, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 74, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 75, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 76, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 77, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 78, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 79, reward: 1.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 80, reward: 1.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 81, reward: 2.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 82, reward: 2.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 83, reward: 2.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 84, reward: 2.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 85, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 86, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 87, reward: 2.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 88, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 89, reward: 1.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 90, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 91, reward: 2.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 92, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 93, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 94, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 95, reward: 1.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 96, reward: 0.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 97, reward: 1.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 98, reward: 1.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 99, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 100, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 101, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 102, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 103, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 104, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 105, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 106, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 107, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 108, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 109, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 110, reward: 1.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 111, reward: 2.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 112, reward: 2.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 113, reward: 1.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 114, reward: 0.5, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 115, reward: 0.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 116, reward: 0.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 117, reward: 0.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 118, reward: 0.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 119, reward: 0.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 120, reward: 0.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 121, reward: 0.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 122, reward: 0.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 123, reward: 0.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 124, reward: 0.0, done: False, allyHP: 96.0, enemyHP: 480.0
episode: 0, step: 125, reward: 0.0, done: False, allyHP: 96.0, enemyHP: 480.0
